Dates,News,Sentiment label 
23-01-2012,"silver surges on global cues, gold gains",positive
09-06-2015,"Gold edges up on weak dollar, but US rate outlook caps the gains",positive
20-09-2007,october gold contract climbs $4.3 to $727.3 an ounce,positive
21-08-2012,india's sept-dec gold imports seen down 40%,negative
14-05-2007,june gold down $2.20 at $670.10/oz in last half hr of trade,negative
22-03-2001,gold futures turn higher after earlier weakness,positive
03-03-2014,"april gold up $28.70, or 2.2%, to $1,350.30/oz",positive
22-12-2010,oil advances above $90 after data; gold rises,positive
19-12-2016,gold imports shrink 30.5% to $15.7 bn in apr-nov,none
03-10-2013,see profit booking in gold: astromoneyguru,none
22-06-2011,"august gold settles at $1,553.40/oz, up $7",positive
10-11-2017,vat : new tax to hurt gold demand in saudi arabia and u.a.e.,none
25-03-2011,"gold closes 0.6% lower at $1,426.20 an ounce",negative
29-11-2017,frank holmes : bitcoin is not dismantling gold,none
05-09-2002,gold climbs as broader market drops,positive
20-11-2012,gold futures settle with a nearly $11 loss,negative
12-02-2014,"gold's looking good, but it's not record-high worthy this year",positive
11-07-2007,august gold falls $2 to $662.40/oz in ny,negative
01-06-2018,august gold contract logs weekly decline of 0.7%,negative
11-08-2016,"Dec. gold trades down 60 cents, or less than 0.1%, at $1,351.30/oz. after data",negative
01-03-2017,Gold falls a second straight session to lowest level in a week,negative
08-06-2012,gold pares loss u.s. stocks turn higher,negative
08-11-2017,"Gold futures rise to Rs 29,620",positive
27-10-2015,"Gold treads water near $1,160; Fed meeting in focus",none
19-10-2017,Gold prices score first gain in four sessions,positive
12-03-2017,India's gold recycling plan fails to tempt households,none
14-07-2017,"August gold gains $10.20, or 0.8%, to settle at $1,227.50/oz",positive
24-01-2013,"dollar may pressurise bullion, sell gold now: naveen mathur",negative
12-03-2018,Gold inches lower as equities rally after US jobs data,negative
10-09-2012,time to book profits in gold: t gnanasekar,none
21-12-2016,"gold trades higher in early trade; key resistance at rs 27,500 level",positive
13-07-2006,gold opens higher as crude oil prices soar,positive
14-07-2017,Gold prices jump after economic reports,positive
23-11-2011,Support for MCX Gold Dec at Rs 28350: Kotak Commodity,none
07-01-2014,"comex gold prices settle lower, below $1,230/oz",negative
12-06-2017,"Gold ends lower, while palladium marks highest finish since 2014",negative
11-10-2011,Gold extends gains on EU debt hopes,positive
25-04-2013,mcx goldpetal april contract advances,positive
06-11-2017,Gold ends up 1% to book best gain in 6 weeks as dollar slumps,positive
10-05-2017,Gold holds gains in Asia on risk-on sentiment over U.S. politics,positive
05-10-2016,"Dec. gold falls $1.10, or 0.1%, to settle at $1,268.60/oz",negative
05-02-2009,gold rises for second session as u.k. cuts rate,positive
13-10-2016,"gold settles up $3.80, or 0.3%, at $1,257.60 an ounce",positive
19-02-2016,"gold tops rs 29,000 level again on global cues, domestic demand",positive
30-01-2017,"April gold climbs $4.90, or 0.4%, to settle at $1,196/oz",positive
13-03-2001,"april gold down $2.80, or 0.2%, at $1,588.90/oz",negative
17-11-2009,"gold, silver hit new historic highs",positive
25-01-2011,gold settles at lowest in nearly three months,negative
03-02-2017,"Gold settles higher, notches best weekly gain since June",positive
25-07-2007,"august gold loses more ground, drops to a 1-week low",negative
27-03-2014,"april gold down $8.70, or 0.7%, ends at $1,294.70/oz",negative
21-10-2004,gold futures pull back in morning trade,negative
10-09-2018,"dec. gold down 60 cents, or 0.05%, to settle at $1,199.80/oz",negative
25-09-2017,"gold extends losses, slumps rs 100 on demand dent",negative
22-09-2016,Gold extends gains after jobless claims,positive
05-11-2013,china's gold consumption to cool after surge this year,none
12-09-2012,buy spot gold above usd 1724; sl usd 1715: geojit,positive
25-07-2016,gold under pressure as focus turns to central bank meetings,none
16-11-2017,"Dec. gold tacks on 50 cents to settle at $1,278.20/oz",positive
17-01-2014,"feb. gold up $11.70 on day, ends at $1,251.90/oz",positive
19-11-2018,"charts : gold: flat lined below 100-day ema, focus on 10-year treasury yield",none
18-10-2017,"Dec. gold falls $3.20, or 0.3%, to settle at $1,283/oz",negative
21-09-2000,dec. gold moves up by $1.60 to $587.80/oz after $582.50 low,positive
25-01-2018,"bmo looks for gold price to remain above $1,300/oz",none
02-03-2018,us mint feb gold coins sales hit lowest in more than a decade,none
24-03-2017,"April gold at $1,247.50/oz in electronic trading, after $1,248.50 settlement",none
05-04-2018,gold settles firmly lower as dollar strength weighs on the precious metal,negative
04-01-2017,gold to trade in 27311-28057 range: achiievers equities,neutral
17-04-2007,gold sales shine on rising rupee,positive
10-02-2006,"gold glitters again, in tune with global trend",positive
11-01-2008,february gold up $2.10 at $895.70/oz in electronic trading,positive
08-08-2017,Gold ends slightly lower as dollar gains traction higher,negative
16-10-2018,charts : gold sits above 100-day ema for the first time since may 10,neutral
02-11-2016,"Gold settles above $1,300, edges down in electronic trading after Fed decision",negative
06-11-2009,gains in gold stocks pull benchmark out of the red,positive
13-11-2012,gold to gain on uncertainties in economies: angel,positive
27-09-2007,"gold futures close higher, as oil prices rally",positive
10-04-2018,"Gold prices jump to Rs 31,550 on spot demand",positive
11-08-2014,gold edges lower as markets monitor geopolitical tension,negative
22-05-2013,gold spikes then drops on bernanke talk,positive
18-09-2007,dec. gold up 0.6% at $728.40 in electronic trade on fed cut,positive
27-04-2000,gold futures steady as index climbs,neutral
25-02-2013,sell mcx gold apr fut around rs 29620: fortune fin,none
01-11-2013,gold import will remain compressed in 2013-14: chidambaram,none
09-03-2015,"Gold futures up at Rs 26,232 per 10 gm",positive
05-08-2010,"gold steady at $1,195, silver gaining",neutral
15-06-2016,gold extends streak of gains to 6th session,positive
02-11-2018,"Profit-booking, weak global cues pull gold futures down to Rs 32,000",negative
05-05-2006,"june gold closes up $29.80, or 4.6%, for the week",positive
17-12-2013,sell feb gold contract at rs 29050/10gm: expert,none
07-10-2011,hdfc mutual fund launches gold fund,none
15-03-2016,gold sinks to 2-week low ahead of fed meeting,negative
07-10-2005,dec gold up $3 at $478/oz after $478.80 high,positive
10-07-2007,gold futures climb to a three-week high,positive
28-10-2016,Gold futures mark highest settlement since Oct. 3,positive
27-08-2013,"Gold futures jump to Rs 32,304 per 10 gm",positive
04-10-2017,Gold holds on to modest gain after upbeat ISM services data,positive
23-11-2004,gold futures continue lower in late morning trade,negative
24-10-2017,Expect Gold to trade positive: Sushil Finance,neutral
27-12-2011,"gold, silver drop on profit taking, sluggish global cues",negative
11-02-2003,gold ends lower after volatile session,negative
05-12-2011,"feb gold falls $8.10, or 0.5%, to $1,743.20/oz",negative
17-08-2017,Donald Trump isn't the only factor behind 2017 gold rally,none
19-09-2008,gold futures drop sharply on government plan,negative
07-10-2011,mcx goldm dec contract up marginally,positive
20-04-2018,china gold assoc : chinese gold output falls during the first quarter of 2018,negative
08-07-2008,gold futures up $1.50 at $928.80 an ounce,positive
16-08-2005,dec gold falls 30c to $447.30/oz in morning trade,negative
01-05-2018,mining : gold mining shares are speculative making gold bullion a better investment,none
09-05-2015,"Gold edges up on seasonal offtake, global cues",positive
27-04-2014,Gold / Silver / Copper futures - weekly outlook: April 28 - May 2,none
19-07-2007,august gold marks highest closing level since may 15,positive
16-08-2017,Gold holds on to slight decline after housing reports,negative
27-10-2003,"after a surge, gold futures retreat",positive
05-10-2009,"dec. gold ends up 1.3% at $1,017.80 an ounce",positive
17-03-2015,"gold, silver prices to be volatile: angel commodities",positive
25-09-2014,"gold prices continue gain into asia on political, economic uncertainty",positive
26-07-2016,Gold futures settle narrowly higher after two-session decline,positive
18-04-2017,"June gold off 0.4% at $1,287.20/oz.",negative
11-06-2015,"aug. gold down $6.20, or 0.5%, to settle at $1,180.40/oz on comex",negative
01-11-2016,Gold rebounds after October loss to finish at 1-month high,positive
06-10-2017,"gold prices recover on global cues, jewellers' buying",positive
17-10-2016,Gold ends slightly higher as traders look for clues on monetary policy,positive
06-11-2011,"Turn assets in gold, realty into financial savings'",none
23-11-2017,"gold fund catches bitcoin fever as prices may soon hit $10,000",none
21-01-2010,"feb. gold at three-week low, down $10 on globex",negative
23-07-2008,august gold down $10.20 to $938.30 an ounce on nymex,negative
28-10-2011,"fat prophets commodity bets: gold, zinc, copper",none
29-06-2011,gold trims advance on greek vote,positive
09-07-2014,gold rises ahead of fomc minutes,positive
17-09-2010,"gold notches fresh record, silver at 30-year high",positive
21-09-2018,bmo: gold to rally whenever fed pauses on tightening,none
23-01-2017,Gold ends near 10-week high in Trump era as dollar wobbles,positive
07-02-2007,april gold last up 10 cents at $658.80/oz,positive
01-12-2005,"dec gold trades at $499.80/oz, up $5.20",positive
17-08-2005,"metals indexes close broadly lower on gold, copper weakness",negative
15-06-2013,gold spikes to one-month high on buying frenzy,positive
11-06-2003,"august gold closes at $356.20 an ounce, up $3.40",positive
30-01-2008,april gold down 80 cents at $930 an ounce on nymex,negative
17-02-2005,gold futures end atop $428 an ounce,none
13-05-2010,this week in mutual funds: gold's fat finger,none
18-10-2005,dec gold futures down $1.80 at $474.80 an ounce,negative
30-10-2010,axis mf launches new exchange traded gold fund,none
10-01-2017,Gold futures turn a bit lower ahead of Comex settlement,negative
23-05-2014,gold slips as dollar gains on new home sales data,negative
01-03-2017,Gold futures end the session at lowest level in a week,negative
11-10-2018,Gold prices up 0.33% on domestic demand,positive
18-10-2017,Gold futures hold losses after housing data,negative
16-05-2017,Gold holds ground at highest settlement in about two weeks,positive
24-01-2018,Gold Prices at 4-Month Highs as U.S. Dollar Plunges,positive
02-11-2017,gold rate today: gold futures rise 0.22% on fresh bets,positive
24-12-2012,gold gains as concern about us budget talks increases demand,positive
11-04-2017,"June gold settles at $1,274.20/oz, up $20.30, or 1.6%",positive
07-05-2014,"june gold down $11, or 0.8%, at $1,297.60/oz",negative
17-09-2018,has gold lost its midas touch?,negative
09-09-2005,gold futures heads higher for a seventh session,positive
07-05-2015,"Sell Comex gold if it rallies to $1,197-1,200/oz",none
05-10-2011,bofa keeps 12-month gold price target,none
24-05-2017,"Gold settles lower, then climbs in electronic trade after Fed minutes",positive
19-04-2007,gold dips as china growth sparks rate fears,negative
12-10-2018,gold up 2.5 percent as global stock rout spreads to europe,positive
10-11-2017,"gold holds near three-week high, set for weekly rise",positive
11-01-2018,gold prices settle at a roughly 4-month high,positive
29-11-2011,MCX GOLDGUINEA Jan contract down slightly,negative
15-09-2016,Gold futures jump after economic reports,positive
05-04-2018,metals focus sees gold climbing to $1 450/oz this year,positive
24-08-2018,gold futures score a rise of 2.5% for the week,positive
03-06-2008,"august gold falls $11, or 1.2%, to $886/oz in ny",negative
20-08-2011,"Gold at new high of Rs 28,230; gains Rs 80",positive
09-09-2006,gold crashes on global meltdown,negative
03-03-2017,Bitcoin is now worth more than an ounce of gold for the first time ever,none
04-01-2017,"Feb. gold at $1,166.80/oz in electronic trade vs. $1,165.30 settlement",none
12-01-2007,"gold closes up $13, scores weekly gain of over 3%",positive
25-07-2018,"august gold finishes up $6.30, or 0.5%, at $1,231.80/oz.",positive
19-10-2015,"gold slips below rs 27,000 in futures trade on global cues",negative
27-07-2017,Gold prices mark a six-week high,positive
07-02-2017,Gold futures up by Rs 87 on firm global cues,positive
06-09-2016,Gold jumps 1% amid dwindling odds of September rate hike,positive
07-06-2011,gold futures edge lower in electronic trading,negative
17-04-2017,gold holds in positive territory after empire state manufacturing data,positive
30-08-2017,"Gold adds to slight loss after ADP shows private-sector job growth of 237,000 for August",negative
27-09-2017,gold prices mark lowest settlement since mid-august,negative
23-10-2003,gold falls for first time in four days,negative
31-07-2013,gold imports in 2013-14 to be less than 845 tonnes: fm,none
21-11-2014,dutch central bank repatriates some gold reserves,none
20-12-2002,not everything that glitters is gold,none
04-12-2017,"Gold ends with a loss as the U.S. dollar, stocks rise as tax plan moves forward",negative
02-11-2011,Gold gains as debt concern spurs demand,positive
20-11-2006,dec. gold climbs $2.20 to $624.70/oz in ny,positive
20-12-2017,"Gold, silver futures rise on firm global cues",positive
05-10-2015,mcx goldguinea november contract gains,positive
12-07-2018,charts : gold is consigned to lameness,none
21-04-2003,gold futures close near $334 an ounce,none
04-02-2014,"Gold falls to <U+20B9>28,938 at futures trade",negative
09-03-2012,"gold trades lower, drops sharply after jobs data",negative
29-06-2018,"august gold up less than 0.1% at $1,251.70/oz.",positive
20-10-2004,"gold, energy lead bay street rally",positive
19-10-2011,Spot Gold trades lower,negative
17-05-2012,"Gold futures rise to Rs 28,098 per 10 gm",positive
28-10-2013,gold futures hold onto gains ahead of comex close,positive
15-03-2018,will rising interest rates push gold higher?,positive
27-12-2010,copper hits intraday record high; gold up,positive
07-05-2016,Gold jumps as US payrolls data misses forecasts,positive
03-10-2017,"Dec. gold falls $1.20, or less than 0.1%, to $1,274.60/oz",negative
20-04-2018,wobbly gold heads for narrow weekly drop as surging silver pulls back,negative
15-03-2017,"gold slides below $1,200 as markets await fed rate message",negative
08-09-2003,gold futures metals shares ease back,none
27-07-2017,"august gold rises 1.1% at $1,263.30/oz.",positive
24-03-2013,"Gold, silver firm up on Cyprus imbroglio",positive
30-08-2008,"silver plunges on lack of support, gold remains firm",neutral
29-11-2016,Gold prices register third decline in 4 sessions,negative
15-05-2013,WGC sees India's gold demand at 965 t in 2013,none
22-05-2017,Gold prices tally highest settlement in 3 weeks,positive
30-11-2016,Gold prices log worst monthly loss since June 2013,negative
11-12-2017,"feb. gold settles at $1,246.90/oz, down $1.50, or 0.1%",negative
20-07-2017,"August gold climbs $4.50, or 0.4%, to $1,246.50/oz",positive
15-11-2011,"Gold prices marginally lower in Mumbai, Delhi market",negative
15-05-2018,"june gold drops $27.90, or 2.1%, to settle at $1,290.30/oz",negative
22-05-2006,gold recovers from a three-week low to end slightly higher,positive
23-08-2004,dec gold falls $2.50 to $413/oz in afternoon dealings,negative
22-08-2016,gold futures finish lower on hawkish fed expectations,negative
17-08-2017,"gold, silver soar after us fed minutes; palladium hits over 16-year high",positive
16-06-2018,"charts : gold price forecast: eyes $1,240 after fresh 2018 low",negative
26-02-2004,gold ends off lows as price fall sparks buying,negative
24-04-2013,"gold up $22.50, 1.6%, to $1,431.20 oz after data",positive
23-06-2014,"Gold edges lower after upbeat U.S. data, Iraq turmoil limits losses",negative
08-03-2017,Gold prices log 7th straight loss,negative
01-05-2017,gold holds lower after pce report,negative
15-08-2014,"gold drops $9.50 to settle at $1,306.20/oz",negative
08-06-2017,gold erases weekly gain as prices drop after ecb decision,positive
08-05-2014,Gold prices gain in Asia on physical demand,positive
13-10-2011,"gold falls to rs 27010, silver down by rs 500 on asian cues",negative
10-04-2014,Gold prices up more than 1% on dovish Fed minutes,positive
01-11-2005,"gold futures close at seven-week low, down over $6 an ounce",negative
28-11-2017,gold notches a minor gain to end at a more than 1-week high,positive
11-10-2018,"commodity outlook: gold may have a tough time near rs 31,500",none
06-07-2016,Gold jumps to highest in over 2 years on renewed Brexit concerns,positive
16-05-2017,"June gold rises $5, or 0.4%, at $1,235/oz.",positive
12-05-2006,"gold futures climb, but back off levels above $730",positive
08-08-2017,"December gold settles $2.10, or 0.2%, lower at $1,262.60/oz.",negative
05-03-2008,april gold up $17.90 at $984.20 an ounce on nymex,positive
23-03-2011,"gold edges higher, trades at $1,431.20 an ounce",positive
14-06-2017,Gold halts 5-session skid to end firmly higher,positive
16-02-2012,"gold ends higher, shakes off early weakness",positive
28-02-2017,Gold futures gain roughly 3.5% for the month,positive
17-05-2017,Gold rallies to May high as Trump worries spark haven bid,positive
11-07-2017,Gold books gain for second straight session,positive
16-02-2012,mcx goldm may contract trading flat,neutral
03-08-2018,"perth mint's july gold, silver sales surge",positive
28-09-2001,Gold futures fall near session lows as Yellen testifies at House hearing,negative
20-04-2011,"Gold futures hits record high at Rs 22,769/10 gm",positive
18-04-2005,gold banc corp 1q earns 21c vs 34c,none
05-02-2013,"gold rebounds on seasonal demand, global cues",positive
11-10-2011,"do not buy gold, silver at current level: kunal shah",none
21-05-2013,silver and gold lurch higher after early dive,positive
18-04-2012,gold ends at lowest in nearly two weeks,negative
27-05-2013,Gold eases on lack of buying; silver marginally up,negative
25-10-2011,"gold futures up 0.33 per cent on global cues, spot demand",positive
17-10-2008,gold falls for seventh day as investors liquidate positions,negative
31-12-2009,gold up on weaker dollar to mark 9th yearly gain,positive
11-10-2011,gold futures end with a loss of almost $10,negative
03-05-2010,"crude oil, gold stay up after income data",positive
01-03-2016,"Gold extends gains on safe-haven bids, fund inflows",positive
26-08-2016,"Dec. gold last up 90 cents, or less than 0.1%, at $1,325.50/oz",positive
22-12-2008,"losing gold, energy stocks pummel toronto stocks",none
13-07-2017,"UPDATE: August gold up 0.1% at $1,220.40/oz.",positive
21-03-2017,"gold falls in early trade, rs 28,820 key level to watch",negative
28-06-2006,gold futures up $3.10 at $587.50 an ounce,positive
30-05-2017,"june gold down $5.40, or 0.4%, at $1,266.10/oz.",negative
17-05-2011,gold futures close 0.7% lower; silver off 1.9%,negative
22-09-2003,gold rises $4.60 per ounce,positive
16-12-2015,gold logs first gain in three sessions before fed decision,positive
01-06-2018,"august gold futures down $9.20, or 0.7%, to $1,295.50 an ounce",negative
02-03-2017,"April gold off $11.80, or 0.9%, at 1,238.60/oz.",negative
26-04-2018,strong economic data cause declines in gold - will this last?,negative
02-07-2015,"aug. gold loses $5.80 for the session to settle at $1,163.50/oz on comex",negative
10-10-2006,"stocks rise depite weakness in oil, gold prices",positive
23-05-2012,gold miners propel canada stocks up 1%,none
11-07-2018,gold prices slip on stronger dollar; bullion seen re-testing low,negative
22-11-2017,"sharps pixley: russian gold reserves - now 1,800 tonnes and rising",none
18-06-2010,canadian stocks lifted by gold,none
27-09-2015,Gold ETFs witness outflow of Rs 363 cr in April-August,none
13-05-2013,"akshaya tritiya, weak rupee may limit downside in gold",none
05-12-2008,gold ends down first week in five as dollar gains,negative
31-08-2016,Gold falls to 2-month lows as markets await U.S. jobs data,negative
21-05-2012,time to go for the gold?,none
01-06-2012,gold futures climb by more than $50/oz,positive
13-04-2017,"Gold, silver prices notch third straight session climb",positive
26-09-2016,Gold logs a gain as focus turns to U.S. presidential debate,positive
12-03-2004,philadelphia gold and silver index down 3.4% for week,negative
06-06-2014,"Gold falls on U.S. jobs report, though ECB move trims losses",negative
11-04-2017,"gold moves higher on geopolitical tension, takes yellen in stride",positive
22-03-2016,gold-to-silver ratio may favor silver,negative
01-06-2017,"August gold down $9.10, or 0.7%, at $1.266.30/oz.",negative
08-09-2016,Gold futures suffer a second day of losses,negative
17-11-2006,"financial, gold losses offset by oil, tech gains",none
27-02-2017,gold pares gains as dollar bounces off session lows,positive
21-02-2017,"Gold finishes near break-even at $1,238.90/oz., off 20 cents or less than 0.1%",none
30-01-2017,Gold futures gain for the first time in 5 sessions,positive
20-07-2017,gold prices turn higher as the u.s. dollar weakens,positive
23-05-2018,Expect Gold prices to trade lower: Angel Commodities,negative
11-05-2018,"e*trade: gold, financials, shorting all ways to play inflation",none
09-10-2014,"gold shoots up dovish fed language, shrugs off data",positive
15-08-2017,gold prices mark largest one-day loss in nearly 6 weeks,negative
06-09-2017,"Dec. gold falls $5.50, or 0.4%, to settle at $1,339/oz",negative
04-04-2005,"spot gold quoted at $423.40, up 60c from new york",positive
17-02-2004,philadelphia gold & silver index rises 2.4%,positive
16-08-2016,gold futures score best one-day climb in 2 weeks,positive
12-10-2011,MCX GOLDM Nov contract makes smart gains,positive
17-07-2017,"August gold climbs $6.20, or 0.5%, to settle at $1,233.70/oz",positive
18-06-2014,"Gold prices gain into Asia, Iraq, easy monetary policies, support",positive
29-02-2008,"gold ends up, posts a weekly gain of over $27",positive
19-06-2012,"Gold climbs to record high of Rs 30,750 per 10 gm",positive
01-11-2017,gold traders find another route to offset duty,none
18-04-2018,Akshaya Tritiya 2018: Has the bull market in gold begun?,none
20-07-2016,"Gold, silver slide on weak global cues, sluggish demand",negative
19-08-2004,spot gold quoted at $404.10 in asia trade,positive
02-07-2018,gold futures drop back to lowest finish since december,negative
24-01-2016,"Now, gold can be deposited in bulk directly with refiners",none
11-05-2017,"june gold ends at $1,224.20/oz, up $5.30, or 0.4%",positive
11-06-2003,gold futures close up by 1%; metals shares higher,positive
15-10-2015,"Gold futures up at Rs 27,272 per 10 gm",positive
23-11-2017,gold demand slips as crops fail to earn,negative
25-07-2003,cboe gold index up 0.9%,positive
02-11-2018,"Gold futures decline Rs 145 on profit-booking, global cues",negative
26-10-2017,"Dec. gold settles at $1,269.60/oz, down $9.40, or 0.7%",negative
31-03-2015,"gold settles with third straight session loss, down on month",negative
03-12-2004,gold futures rally to a fresh mid-1988 high near $458,positive
01-05-2017,"June gold falls $12.80, or 1%, to settle at $1,255.50/oz",negative
13-04-2017,"Gold holds firm gain, up 0.8%, at $1,288.40/oz., after data",positive
23-04-2018,"Gold falls to Rs 32,310; silver moves down by Rs 150 per kg",negative
13-03-2018,sp angel : gold still holds its haven status,none
30-08-2017,gold price: find all the latest trends and news about gold,none
31-10-2017,"Dec. gold down $6.40, or 0.5%, at $1,271.30/oz",negative
28-07-2016,Gold futures mark best settlement in about 2 weeks,positive
07-01-2011,"gold back to red, trades at $1,371 an ounce",negative
19-12-2012,sell mcx gold feb fut around rs 31140: fortune financial,none
13-11-2013,Gold rises on fresh demand offsets tapering concern,positive
24-07-2018,gold price outlook for rest of 2018: it could soar on surging demand,none
08-08-2017,gold discount disappears as market turns positive,none
17-01-2017,"Gold settles at 2-month high on Brexit, Trump jitters",positive
06-11-2017,"December gold gains $12.40, or 1%, to settle at $1,281.60/oz.",positive
24-01-2017,gold futures settle lower after two-session climb,negative
03-02-2010,"gold dips, dollar gains as markets pause after two-day rally",positive
02-04-2013,gold settles at lowest level in nearly four weeks,negative
23-06-2017,"Gold climbs for the session, ends nearly flat for the week",positive
22-07-2016,Gold futures lose 0.3% for the week,negative
08-05-2018,Gold prices inch up on steady dollar,positive
12-07-2018,"Gold falls on weak global cues, lacklustre demand",negative
07-10-2017,third tranche of sovereign gold bond scheme on oct 9,none
07-04-2009,spot gold prices rise 80 cents to $881.90 a barrel,positive
12-10-2017,"Gold pares gain slightly after data, up 0.5% at $1,295/oz.",positive
29-09-2017,"gold steady, on track for first monthly loss in three",neutral
24-04-2017,Gold ends lower as French election result takes shine off havens,negative
23-08-2018,"Commodity outlook: Gold has stiff resistance at Rs 29,665 level",none
27-04-2014,Gold prices gain in Asia with Ukraine events offering support,positive
02-10-2017,"Gold settles at a nearly 2-month low as dollar, equities strengthen",negative
31-08-2017,Gold prices trim losses after mixed U.S. data,negative
02-12-2009,"gold rises 1% to $1,211.30 after jobs data",positive
12-08-2016,Gold futures finish with a weekly loss of almost 0.1%,negative
30-08-2012,"Gold futures open higher at Rs 30,952 per 10 gm",positive
03-03-2005,"spot gold quoted at $430.20, up 10c from new york",positive
16-02-2010,friday's drop in gold futures,negative
04-05-2015,gold futures rebound from six-week low,negative
17-06-2014,"Gold prices ease in Asia, focus on U.S. Fed announcement",none
05-03-2018,"gold slips but italy vote, trade war fears provide support",negative
01-05-2007,"june gold down 0.9%, or $6, at $677.50/oz in ny",negative
20-07-2005,gold futures end at one-week high,positive
01-12-2003,gold futures top $400,positive
27-01-2013,Commodity markets at crossroads; demand for gold wanes,none
27-02-2017,Gold edges up for a third straight session,positive
28-08-2017,Gold futures mark highest settlement since Sept. 30,positive
12-04-2000,june gold rises $3.20 to $602.60/oz after $604 high,positive
19-06-2013,"Gold futures down at Rs 27,917 per 10 gm",negative
10-08-2006,gold futures down 6.20 at $655.80 an ounce,negative
22-01-2013,Gold maintains rising trend in futures trade on duty hike,positive
15-02-2018,silver : gold/silver price ratio: an epic opportunity in silver,none
10-04-2008,june gold down $1.20 at $936.30 an ounce on nymex,negative
17-09-2014,"Gold futures hold steady as markets await Fed, Yellen",neutral
07-06-2016,gold holds near two-week highs as cautious yellen hurts dollar,neutral
18-07-2013,"Gold skids on weak demand, silver too slumps",negative
05-08-2016,"December gold closes $23, or 1.7%, to settle at $1,344.40/oz.",negative
20-05-2014,Gold prices flat in Asia with all eyes on the Fed,neutral
09-11-2011,gold zooms to all-time high on marriage season demand,positive
03-01-2017,Gold futures settle at a nearly three-week high,positive
15-08-2012,"paulson, soros upped gold holdings last quarter",none
24-03-2014,gold extends losses from last week as fed rate hike view weighs,negative
15-08-2016,"Dec. gold settles at $1,347.50/oz, up $4.30, or 0.3%",positive
01-06-2015,"government reduces tariff value on gold, silver",none
14-11-2005,dec gold falls 30c to end at $469.10/oz,negative
18-09-2012,mcx goldm nov contract declines,negative
31-07-2018,"dec. gold settles at $1,233.60/oz, up $2.10, or 0.2%",positive
12-04-2017,Gold ends at highest level since early November as geopolitical jitters linger,positive
26-04-2018,"gold ends lower, holds ground at a 5-week low",negative
16-07-2010,"canadian stocks drop, led by oil, gold",positive
12-03-2002,metals shares up on gold's price gain,positive
12-10-2017,gold prices touch two-week high amid subdued us dollar,positive
03-11-2017,"December gold rises 0.1% at $1,279.40/oz.",positive
30-10-2018,chinese gold mining industry: a story of growth,none
29-06-2018,"How will a weak rupee-dollar impact crude oil, gold and base metals?",none
26-06-2014,"Gold, silver lower ahead of U.S. spending, jobless claims data",negative
25-03-2011,african barrick gold up 3.8% after drilling update,positive
27-07-2006,correct: newmont sells black gold oil-sands land for $280m,none
30-06-2017,"August gold down 0.2% at $1,244/oz.",negative
03-06-2013,"roubini: why gold, 'that barbarous relic,' will trade below $1,000 by 2015",none
27-02-2013,"Gold futures drop to Rs 29,917 on global cues",negative
12-12-2008,"gold ends lower, but gains on the week",negative
01-03-2016,guy who called gold's bottom says it could jump 10% over next 9 months,none
18-06-2010,gold futures run towards fresh record levels,positive
23-03-2016,"april gold settles at $1,224/oz, down $24.60, or 2%",negative
07-08-2009,"gold falls on upbeat jobs data, stronger dollar",negative
07-02-2017,Gold up a 4th session to hold ground at three-month high,positive
20-10-2016,"Dec. gold falls $2.40, or 0.2%, to settle at $1,267.50/oz",negative
31-08-2009,gold maintains an upward march on firm global cues,positive
21-07-2017,"Gold prices end at highest level in a month, up over 2% for the week",positive
30-11-2017,gold remains lower after economic data,negative
29-06-2010,"gold settles up 0.3% at $1,242.40/oz",positive
13-01-2009,gold futures may turn bearish this week on strong dollar,negative
15-06-2018,"charts : gold clears 200-dma hurdle, surges to 1-month tops",positive
21-12-2011,gold futures settle with 0.3% loss,negative
11-08-2017,Gold prices end the week 2.3% higher,positive
03-07-2017,Gold prices mark lowest settlement in nearly two months,negative
07-12-2012,"morgan stanley's best picks for 2013: gold, silver",none
21-07-2008,"rupee up against dollar, gold recovers by rs 60",positive
06-09-2017,Iamgold's stock rally after gold discovery and upgrade extends win streak to longest in 6 years,none
29-06-2012,"gold settles 3.5% higher at $1,604.20 an ounce",positive
10-11-2016,"December gold $4.20, or 0.3%, higher at $1,277.70/oz.",positive
12-12-2016,Alamos Gold upgraded to outperform from sector perform at RBC Capital,none
05-10-2016,Gold extends bounce off 3-1/2-month lows after ADP disappoints,negative
27-01-2017,"Feb. gold settles at $1,188.40/oz, down $1.40, or 0.1%",negative
01-08-2013,gold declines as dollar strengthens,negative
02-09-2005,gold futures head for three-session win,positive
15-11-2016,"December gold trades up $3.50, or 0.3%, at $1,225.50/oz.",positive
17-12-2012,gold drops on us fiscal cliff talks as etp holdings at record,negative
14-11-2016,"Dec. gold down $2.60, or 0.2%, to settle at $1,221.70/oz",negative
17-11-2010,"dec. gold up 80 cents at $1,337.70/oz on globex",positive
14-05-2013,"npas are not an issue for gold loan companies: george alexander muthoot, muthoot finance",none
11-12-2017,gold heads for lowest level since may,negative
26-11-2010,"silver plunges on heavy sell-off, gold edges up",positive
09-11-2017,india : gold demand in india seen falling to lowest in 8 years in 2017,none
01-06-2017,Gold holds firm loss after ADP private-sector jobs report,negative
21-12-2015,MCX gold hovers above key support,neutral
19-04-2017,Gold prices end at 1-week low as dollar recovers,negative
06-08-2018,aram shishmanian to step down as ceo of the world gold council in 2019,negative
